model_name,best_auroc,accuracy_at_best_auroc,historical_best_auroc,historical_best_accuracy,historical_best_timestamp
DANetModel,0.6829574108123779,0.6440678238868713,0.8521302938461304,0.7288135886192322,N/A
TabTransformerModel,0.7468671798706055,0.6779661178588867,0.8421052694320679,0.7288135886192322,N/A
AutoIntModel,0.7280701994895935,0.7118644118309021,0.8170425891876221,0.7796609997749329,N/A
TabNetModel,0.6553884744644165,0.5423728823661804,0.800751805305481,0.7118644118309021,N/A
