Model,Best_AUC,Accuracy_at_Best_AUC,Best_Accuracy,AUC_at_Best_Accuracy
DANetModel,0.6390978097915649,0.6440678238868713,0.694915235042572,0.6152881979942322
TabTransformerModel,0.695488691329956,0.7118644118309021,0.7118644118309021,0.695488691329956
AutoIntModel,0.7042605876922607,0.6610169410705566,0.694915235042572,0.6904761791229248
TabNetModel,0.6315789222717285,0.6610169410705566,0.6610169410705566,0.6315789222717285
