model_name,mean_auroc,std_auroc,mean_accuracy,std_accuracy,historical_best_auroc,historical_best_accuracy,historical_best_timestamp
DANetModel,0.899356734752655,0.0363114361427341,0.8031034409999848,0.05823262313110503,0.899356734752655,0.8031034409999848,2025-01-23 19:10:16
TabTransformerModel,0.8796650767326355,0.06112895783528593,0.8034482717514038,0.06335640214068704,0.8796650767326355,0.8034482717514038,2025-01-23 21:29:52
AutoIntModel,0.8707549273967743,0.059669139854484486,0.8135632157325745,0.06387285137970371,0.8707549273967743,0.8135632157325745,2025-01-24 01:31:18
TabNetModel,0.8578734636306763,0.03542255870034174,0.7832183837890625,0.06701849585884444,0.8578734636306763,0.7832183837890625,2025-01-24 05:47:13
