trial_id,optimizer_config__optimizer_params,optimizer_config__optimizer,model_config__virtual_batch_size,model_config__n_layers,model_config__k,model_config__dropout_rate,model_config__block_activation,model_config__abstlay_dim_2,model_config__abstlay_dim_1,model,loss_0,loss,accuracy,auroc,model_config__transformer_head_dim,model_config__transformer_activation,model_config__shared_embedding_fraction,model_config__share_embedding_strategy,model_config__share_embedding,model_config__num_heads,model_config__num_attn_blocks,model_config__input_embed_dim,model_config__ff_hidden_multiplier,model_config__ff_dropout,model_config__embedding_initialization,model_config__embedding_dropout,model_config__embedding_bias,model_config__attn_dropout,model_config__add_norm_dropout,model_config__use_batch_norm,model_config__initialization,model_config__has_residuals,model_config__embedding_dim,model_config__dropout,model_config__deep_layers,model_config__attn_embed_dim,model_config__attn_dropouts,model_config__attention_pooling,model_config__activation,model_config__n_steps,model_config__n_shared,model_config__n_independent,model_config__n_d,model_config__n_a,model_config__mask_type,model_config__gamma,model_config__batch_norm_continuous_input
0,{'weight_decay': 0.01},AdamW,512.0,8.0,3.0,0.1,LeakyReLU,64.0,64.0,DANetModel,0.6344431638717651,0.6344431638717651,0.6440678238868713,0.6829574108123779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,{'weight_decay': 0.01},Adam,512.0,8.0,7.0,0.1,GELU,32.0,16.0,DANetModel,0.6676042079925537,0.6676042079925537,0.6440678238868713,0.6190476417541504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,{'weight_decay': 0.01},Adam,,,,,,,,TabTransformerModel,0.6155115365982056,0.6155115365982056,0.6779661178588867,0.7468671798706055,16.0,ReGLU,0.75,fraction,False,4.0,2.0,64.0,4.0,0.0,kaiming_normal,0.0,True,0.2,0.1,,,,,,,,,,,,,,,,,,
1,{'weight_decay': 0.01},AdamW,,,,,,,,TabTransformerModel,0.7184640765190125,0.7184640765190125,0.6440678238868713,0.6616541147232056,,GEGLU,0.25,add,False,8.0,6.0,32.0,2.0,0.1,kaiming_uniform,0.1,True,0.2,0.1,,,,,,,,,,,,,,,,,,
0,{'weight_decay': 0.01},AdamW,,,,,,,,AutoIntModel,0.586284875869751,0.586284875869751,0.7118644118309021,0.7280701994895935,,,0.5,add,True,4.0,3.0,,,,kaiming_normal,,False,,,True,xavier,False,32.0,0.2,False,64.0,0.0,True,ReLU,,,,,,,,
1,{'weight_decay': 0.001},AdamW,,,,,,,,AutoIntModel,0.6482061147689819,0.6482061147689819,0.6440678238868713,0.6942355632781982,,,0.25,add,False,2.0,3.0,,,,kaiming_uniform,,False,,,True,kaiming,False,63.0,0.0,False,32.0,0.2,False,ReLU,,,,,,,,
0,{'weight_decay': 0.01},AdamW,128.0,,,,,,,TabNetModel,0.7326120138168335,0.7326120138168335,0.5932203531265259,0.4887217879295349,,,,,,,,,,,,0.2,,,,,,,,,,,,,,10.0,3.0,1.0,32.0,32.0,entmax,1.0,True
1,{'weight_decay': 0.001},AdamW,512.0,,,,,,,TabNetModel,0.7067456841468811,0.7067456841468811,0.5423728823661804,0.6553884744644165,,,,,,,,,,,,0.2,,,,,,,,,,,,,,7.0,3.0,3.0,64.0,8.0,entmax,1.5,True
