trial_id,optimizer_config__optimizer_params,optimizer_config__optimizer,model_config__virtual_batch_size,model_config__n_layers,model_config__k,model_config__dropout_rate,model_config__block_activation,model_config__abstlay_dim_2,model_config__abstlay_dim_1,model,loss_0,loss,accuracy,auroc,model_config__transformer_head_dim,model_config__transformer_activation,model_config__shared_embedding_fraction,model_config__share_embedding_strategy,model_config__share_embedding,model_config__num_heads,model_config__num_attn_blocks,model_config__input_embed_dim,model_config__ff_hidden_multiplier,model_config__ff_dropout,model_config__embedding_initialization,model_config__embedding_dropout,model_config__embedding_bias,model_config__attn_dropout,model_config__add_norm_dropout,model_config__use_batch_norm,model_config__initialization,model_config__has_residuals,model_config__embedding_dim,model_config__dropout,model_config__deep_layers,model_config__attn_embed_dim,model_config__attn_dropouts,model_config__attention_pooling,model_config__activation,model_config__n_steps,model_config__n_shared,model_config__n_independent,model_config__n_d,model_config__n_a,model_config__mask_type,model_config__gamma,model_config__batch_norm_continuous_input
242,{'weight_decay': 0.01},Adam,256.0,6.0,7.0,0.2,GELU,128.0,32.0,DANetModel,0.5876344442367554,0.5876344442367554,0.6610169410705566,0.7067668437957764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,{'weight_decay': 0.001},AdamW,512.0,6.0,5.0,0.2,LeakyReLU,128.0,32.0,DANetModel,0.5750188827514648,0.5750188827514648,0.7118644118309021,0.7481203079223633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,{'weight_decay': 0.001},AdamW,256.0,4.0,5.0,0.1,ReLU,32.0,64.0,DANetModel,0.5687786936759949,0.5687786936759949,0.6779661178588867,0.713032603263855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,{'weight_decay': 0.01},Adam,128.0,8.0,5.0,0.0,GELU,64.0,16.0,DANetModel,0.5971142649650574,0.5971142649650574,0.694915235042572,0.6854636669158936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,{'weight_decay': 0.01},AdamW,512.0,8.0,7.0,0.0,LeakyReLU,64.0,16.0,DANetModel,0.6369692087173462,0.6369692087173462,0.6440678238868713,0.695488691329956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,{'weight_decay': 0.001},Adam,128.0,6.0,7.0,0.2,GELU,128.0,16.0,DANetModel,0.6468794345855713,0.6468794345855713,0.6101694703102112,0.6378445625305176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,{'weight_decay': 0.001},AdamW,256.0,6.0,7.0,0.2,LeakyReLU,64.0,32.0,DANetModel,0.6568403840065002,0.6568403840065002,0.6440678238868713,0.49498748779296875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,{'weight_decay': 0.01},Adam,512.0,4.0,3.0,0.1,GELU,32.0,16.0,DANetModel,0.7619690895080566,0.7619690895080566,0.35593220591545105,0.45488718152046204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,{'weight_decay': 0.001},Adam,256.0,4.0,5.0,0.1,LeakyReLU,64.0,64.0,DANetModel,0.595657467842102,0.595657467842102,0.694915235042572,0.7005012035369873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,{'weight_decay': 0.01},AdamW,128.0,8.0,3.0,0.1,ReLU,32.0,32.0,DANetModel,0.6396607160568237,0.6396607160568237,0.6271186470985413,0.5814536213874817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,{'weight_decay': 0.001},AdamW,128.0,8.0,7.0,0.0,GELU,128.0,16.0,DANetModel,0.6484824419021606,0.6484824419021606,0.6440678238868713,0.5175438523292542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,{'weight_decay': 0.001},AdamW,128.0,4.0,7.0,0.1,ReLU,128.0,64.0,DANetModel,0.644067645072937,0.644067645072937,0.6440678238868713,0.5626566410064697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,{'weight_decay': 0.001},Adam,128.0,8.0,7.0,0.1,LeakyReLU,128.0,16.0,DANetModel,0.4788806736469269,0.4788806736469269,0.7288135886192322,0.8521302938461304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,{'weight_decay': 0.001},AdamW,512.0,8.0,5.0,0.1,GELU,128.0,32.0,DANetModel,0.5293955206871033,0.5293955206871033,0.7457627058029175,0.756892204284668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,{'weight_decay': 0.001},Adam,256.0,4.0,3.0,0.1,GELU,64.0,64.0,DANetModel,0.6961972713470459,0.6961972713470459,0.4237288236618042,0.4273183047771454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,{'weight_decay': 0.01},AdamW,512.0,6.0,3.0,0.0,ReLU,64.0,16.0,DANetModel,0.6351301670074463,0.6351301670074463,0.6271186470985413,0.602756917476654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,{'weight_decay': 0.01},AdamW,256.0,4.0,7.0,0.0,LeakyReLU,128.0,32.0,DANetModel,0.6379101872444153,0.6379101872444153,0.6440678238868713,0.7030075192451477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,{'weight_decay': 0.001},Adam,512.0,8.0,3.0,0.0,ReLU,32.0,16.0,DANetModel,0.6528468728065491,0.6528468728065491,0.6271186470985413,0.5588972568511963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,{'weight_decay': 0.01},Adam,128.0,6.0,5.0,0.0,LeakyReLU,128.0,16.0,DANetModel,0.6458655595779419,0.6458655595779419,0.6440678238868713,0.5617167949676514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,{'weight_decay': 0.01},Adam,256.0,4.0,3.0,0.2,ReLU,64.0,32.0,DANetModel,0.6132078766822815,0.6132078766822815,0.6610169410705566,0.7343358993530273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,{'weight_decay': 0.001},Adam,512.0,8.0,7.0,0.1,LeakyReLU,128.0,16.0,DANetModel,0.6441175937652588,0.6441175937652588,0.6440678238868713,0.6303257942199707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,{'weight_decay': 0.001},Adam,256.0,8.0,7.0,0.2,GELU,128.0,64.0,DANetModel,0.6542162299156189,0.6542162299156189,0.6440678238868713,0.44360899925231934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,{'weight_decay': 0.001},AdamW,128.0,4.0,7.0,0.1,GELU,64.0,16.0,DANetModel,0.622398853302002,0.622398853302002,0.694915235042572,0.7243107557296753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,{'weight_decay': 0.001},AdamW,128.0,8.0,5.0,0.0,LeakyReLU,64.0,32.0,DANetModel,0.64220130443573,0.64220130443573,0.6440678238868713,0.5726816654205322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,{'weight_decay': 0.01},AdamW,512.0,6.0,7.0,0.1,LeakyReLU,32.0,64.0,DANetModel,0.6971771121025085,0.6971771121025085,0.47457626461982727,0.5751879811286926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,{'weight_decay': 0.001},AdamW,512.0,6.0,5.0,0.1,ReLU,128.0,32.0,DANetModel,0.6467688083648682,0.6467688083648682,0.6440678238868713,0.5563910007476807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,{'weight_decay': 0.001},AdamW,256.0,4.0,3.0,0.1,GELU,128.0,64.0,DANetModel,0.6500442028045654,0.6500442028045654,0.6440678238868713,0.5225564241409302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,{'weight_decay': 0.01},Adam,512.0,8.0,7.0,0.1,ReLU,32.0,16.0,DANetModel,0.6909467577934265,0.6909467577934265,0.508474588394165,0.3934836983680725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,{'weight_decay': 0.01},Adam,512.0,4.0,3.0,0.1,GELU,64.0,64.0,DANetModel,0.6273896098136902,0.6273896098136902,0.6779661178588867,0.6528822183609009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,{'weight_decay': 0.01},Adam,256.0,6.0,7.0,0.0,ReLU,32.0,16.0,DANetModel,0.6582664847373962,0.6582664847373962,0.6440678238868713,0.4624060392379761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,{'weight_decay': 0.01},Adam,256.0,8.0,3.0,0.1,ReLU,128.0,32.0,DANetModel,0.5611038208007812,0.5611038208007812,0.7288135886192322,0.7518796920776367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,{'weight_decay': 0.001},AdamW,512.0,4.0,5.0,0.1,GELU,128.0,32.0,DANetModel,0.6527571678161621,0.6527571678161621,0.6440678238868713,0.4799498915672302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,{'weight_decay': 0.01},Adam,128.0,4.0,5.0,0.1,ReLU,32.0,32.0,DANetModel,0.6084864139556885,0.6084864139556885,0.6779661178588867,0.670426070690155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,{'weight_decay': 0.01},AdamW,128.0,8.0,5.0,0.1,ReLU,128.0,16.0,DANetModel,0.7441431283950806,0.7441431283950806,0.35593220591545105,0.5513784885406494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,{'weight_decay': 0.01},Adam,256.0,8.0,7.0,0.2,ReLU,128.0,16.0,DANetModel,0.6471807360649109,0.6471807360649109,0.6440678238868713,0.6090224981307983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,{'weight_decay': 0.01},AdamW,256.0,8.0,7.0,0.2,ReLU,32.0,16.0,DANetModel,0.6470680236816406,0.6470680236816406,0.6440678238868713,0.5939849615097046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,{'weight_decay': 0.001},AdamW,128.0,8.0,7.0,0.1,LeakyReLU,128.0,64.0,DANetModel,0.616157591342926,0.616157591342926,0.6440678238868713,0.7030075788497925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,{'weight_decay': 0.01},Adam,128.0,8.0,7.0,0.0,LeakyReLU,64.0,64.0,DANetModel,0.6527479290962219,0.6527479290962219,0.6440678238868713,0.4536340534687042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,{'weight_decay': 0.001},Adam,128.0,8.0,5.0,0.0,ReLU,64.0,64.0,DANetModel,0.6396775841712952,0.6396775841712952,0.6440678238868713,0.6040099859237671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,{'weight_decay': 0.01},Adam,512.0,6.0,7.0,0.0,ReLU,128.0,16.0,DANetModel,0.6481303572654724,0.6481303572654724,0.6440678238868713,0.553884744644165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,{'weight_decay': 0.001},AdamW,128.0,6.0,5.0,0.0,LeakyReLU,128.0,64.0,DANetModel,0.5431384444236755,0.5431384444236755,0.694915235042572,0.7706767320632935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,{'weight_decay': 0.001},AdamW,256.0,4.0,3.0,0.0,GELU,128.0,64.0,DANetModel,0.6461909413337708,0.6461909413337708,0.6440678238868713,0.6077694296836853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,{'weight_decay': 0.01},Adam,512.0,4.0,7.0,0.0,GELU,32.0,64.0,DANetModel,0.6976310014724731,0.6976310014724731,0.49152541160583496,0.5275689363479614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,{'weight_decay': 0.001},Adam,512.0,4.0,5.0,0.2,GELU,32.0,64.0,DANetModel,0.6165966987609863,0.6165966987609863,0.6779661178588867,0.6741855144500732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,{'weight_decay': 0.001},Adam,128.0,8.0,7.0,0.2,ReLU,64.0,32.0,DANetModel,0.585338830947876,0.585338830947876,0.694915235042572,0.7155388593673706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,{'weight_decay': 0.01},AdamW,256.0,6.0,5.0,0.2,LeakyReLU,32.0,16.0,DANetModel,0.6547977924346924,0.6547977924346924,0.6440678238868713,0.5075187683105469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,{'weight_decay': 0.001},Adam,128.0,6.0,3.0,0.0,ReLU,64.0,64.0,DANetModel,0.6405884623527527,0.6405884623527527,0.694915235042572,0.6303257942199707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,{'weight_decay': 0.001},AdamW,128.0,8.0,3.0,0.0,LeakyReLU,128.0,64.0,DANetModel,0.5675032734870911,0.5675032734870911,0.694915235042572,0.7142857313156128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,{'weight_decay': 0.001},AdamW,128.0,4.0,5.0,0.1,ReLU,128.0,32.0,DANetModel,0.6496369242668152,0.6496369242668152,0.6610169410705566,0.5802004337310791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,{'weight_decay': 0.001},Adam,128.0,8.0,5.0,0.1,GELU,64.0,32.0,DANetModel,0.6661596894264221,0.6661596894264221,0.6440678238868713,0.4586465656757355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,{'weight_decay': 0.001},AdamW,256.0,8.0,5.0,0.1,ReLU,32.0,32.0,DANetModel,0.6372106671333313,0.6372106671333313,0.6440678238868713,0.5864661335945129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,{'weight_decay': 0.001},AdamW,128.0,6.0,7.0,0.1,LeakyReLU,64.0,64.0,DANetModel,0.5982272624969482,0.5982272624969482,0.694915235042572,0.6541353464126587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,{'weight_decay': 0.001},Adam,512.0,6.0,7.0,0.1,GELU,128.0,64.0,DANetModel,0.6490432620048523,0.6490432620048523,0.6440678238868713,0.5350877046585083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,{'weight_decay': 0.01},AdamW,256.0,6.0,7.0,0.2,GELU,32.0,64.0,DANetModel,0.6547530889511108,0.6547530889511108,0.6440678238868713,0.47243112325668335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,{'weight_decay': 0.001},Adam,512.0,4.0,7.0,0.1,ReLU,128.0,16.0,DANetModel,0.6359763145446777,0.6359763145446777,0.6440678238868713,0.645363450050354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,{'weight_decay': 0.001},Adam,512.0,4.0,7.0,0.2,ReLU,64.0,32.0,DANetModel,0.6542003154754639,0.6542003154754639,0.6440678238868713,0.4899749457836151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,{'weight_decay': 0.001},Adam,256.0,4.0,7.0,0.1,LeakyReLU,32.0,16.0,DANetModel,0.6225319504737854,0.6225319504737854,0.6779661178588867,0.6127820014953613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,{'weight_decay': 0.001},AdamW,256.0,4.0,5.0,0.0,LeakyReLU,128.0,64.0,DANetModel,0.6392546892166138,0.6392546892166138,0.6440678238868713,0.6015037298202515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,{'weight_decay': 0.01},Adam,,,,,,,,TabTransformerModel,0.5753457546234131,0.5753457546234131,0.6779661178588867,0.7506265640258789,16.0,ReGLU,0.75,fraction,False,4.0,2.0,64.0,4.0,0.0,kaiming_normal,0.0,True,0.2,0.1,,,,,,,,,,,,,,,,,,
1,{'weight_decay': 0.01},AdamW,,,,,,,,TabTransformerModel,0.6538195610046387,0.6538195610046387,0.6440678238868713,0.743107795715332,,GEGLU,0.25,add,False,8.0,6.0,32.0,2.0,0.1,kaiming_uniform,0.1,True,0.2,0.1,,,,,,,,,,,,,,,,,,
2,{'weight_decay': 0.001},AdamW,,,,,,,,TabTransformerModel,0.6284360289573669,0.6284360289573669,0.694915235042572,0.7468671798706055,16.0,ReGLU,0.75,fraction,True,16.0,6.0,16.0,2.0,0.0,kaiming_uniform,0.0,True,0.2,0.2,,,,,,,,,,,,,,,,,,
3,{'weight_decay': 0.01},Adam,,,,,,,,TabTransformerModel,0.6463620662689209,0.6463620662689209,0.6610169410705566,0.7092732191085815,16.0,ReGLU,0.25,fraction,True,8.0,2.0,16.0,2.0,0.0,kaiming_normal,0.2,True,0.0,0.1,,,,,,,,,,,,,,,,,,
4,{'weight_decay': 0.001},Adam,,,,,,,,TabTransformerModel,0.6622558832168579,0.6622558832168579,0.5932203531265259,0.6929824352264404,16.0,GEGLU,0.75,fraction,True,4.0,6.0,32.0,8.0,0.0,kaiming_normal,0.1,False,0.1,0.0,,,,,,,,,,,,,,,,,,
5,{'weight_decay': 0.01},AdamW,,,,,,,,TabTransformerModel,0.7529335021972656,0.7529335021972656,0.6440678238868713,0.7105263471603394,16.0,GEGLU,0.5,fraction,True,4.0,4.0,64.0,4.0,0.2,kaiming_uniform,0.2,False,0.1,0.2,,,,,,,,,,,,,,,,,,
6,{'weight_decay': 0.01},AdamW,,,,,,,,TabTransformerModel,0.7031611204147339,0.7031611204147339,0.6610169410705566,0.7280701398849487,16.0,ReGLU,0.5,fraction,False,4.0,6.0,32.0,2.0,0.2,kaiming_uniform,0.0,False,0.1,0.2,,,,,,,,,,,,,,,,,,
7,{'weight_decay': 0.01},Adam,,,,,,,,TabTransformerModel,0.6862215399742126,0.6862215399742126,0.6440678238868713,0.5726816654205322,,GEGLU,0.75,fraction,True,16.0,6.0,32.0,8.0,0.1,kaiming_uniform,0.1,False,0.2,0.1,,,,,,,,,,,,,,,,,,
8,{'weight_decay': 0.001},AdamW,,,,,,,,TabTransformerModel,0.5925384163856506,0.5925384163856506,0.694915235042572,0.7406014800071716,16.0,SwiGLU,0.75,add,True,8.0,4.0,32.0,2.0,0.2,kaiming_normal,0.0,False,0.1,0.2,,,,,,,,,,,,,,,,,,
9,{'weight_decay': 0.001},AdamW,,,,,,,,TabTransformerModel,0.6953964829444885,0.6953964829444885,0.6440678238868713,0.6428571939468384,32.0,GEGLU,0.75,fraction,False,16.0,2.0,32.0,8.0,0.1,kaiming_uniform,0.0,False,0.0,0.1,,,,,,,,,,,,,,,,,,
10,{'weight_decay': 0.01},AdamW,,,,,,,,TabTransformerModel,0.6015192866325378,0.6015192866325378,0.6610169410705566,0.7180451154708862,16.0,ReGLU,0.75,add,False,8.0,4.0,32.0,8.0,0.0,kaiming_uniform,0.2,True,0.2,0.2,,,,,,,,,,,,,,,,,,
11,{'weight_decay': 0.001},Adam,,,,,,,,TabTransformerModel,0.6482011675834656,0.6482011675834656,0.5932203531265259,0.6441103219985962,16.0,ReGLU,0.75,fraction,True,8.0,4.0,64.0,2.0,0.0,kaiming_normal,0.0,False,0.0,0.1,,,,,,,,,,,,,,,,,,
12,{'weight_decay': 0.01},Adam,,,,,,,,TabTransformerModel,0.6103907227516174,0.6103907227516174,0.694915235042572,0.7593984603881836,,ReGLU,0.5,fraction,False,8.0,4.0,64.0,4.0,0.1,kaiming_uniform,0.2,False,0.2,0.1,,,,,,,,,,,,,,,,,,
13,{'weight_decay': 0.001},Adam,,,,,,,,TabTransformerModel,0.624532163143158,0.624532163143158,0.7118644118309021,0.7456140518188477,16.0,GEGLU,0.25,fraction,True,16.0,2.0,16.0,4.0,0.1,kaiming_normal,0.2,False,0.0,0.1,,,,,,,,,,,,,,,,,,
14,{'weight_decay': 0.001},AdamW,,,,,,,,TabTransformerModel,0.7338235378265381,0.7338235378265381,0.6610169410705566,0.6616541147232056,32.0,GEGLU,0.25,add,True,8.0,4.0,32.0,4.0,0.2,kaiming_uniform,0.2,True,0.1,0.0,,,,,,,,,,,,,,,,,,
15,{'weight_decay': 0.001},Adam,,,,,,,,TabTransformerModel,0.686917781829834,0.686917781829834,0.6610169410705566,0.763157844543457,,SwiGLU,0.5,add,True,16.0,6.0,32.0,2.0,0.0,kaiming_normal,0.0,False,0.0,0.1,,,,,,,,,,,,,,,,,,
16,{'weight_decay': 0.001},Adam,,,,,,,,TabTransformerModel,0.5987585783004761,0.5987585783004761,0.7118644118309021,0.709273099899292,16.0,SwiGLU,0.5,fraction,False,16.0,2.0,16.0,2.0,0.1,kaiming_normal,0.1,False,0.1,0.1,,,,,,,,,,,,,,,,,,
17,{'weight_decay': 0.001},Adam,,,,,,,,TabTransformerModel,0.6589064002037048,0.6589064002037048,0.6440678238868713,0.7117794752120972,32.0,GEGLU,0.25,add,False,16.0,2.0,64.0,4.0,0.2,kaiming_normal,0.0,False,0.2,0.0,,,,,,,,,,,,,,,,,,
18,{'weight_decay': 0.001},AdamW,,,,,,,,TabTransformerModel,0.7070032954216003,0.7070032954216003,0.6101694703102112,0.665413498878479,,SwiGLU,0.25,fraction,False,8.0,2.0,16.0,4.0,0.1,kaiming_normal,0.1,True,0.1,0.2,,,,,,,,,,,,,,,,,,
19,{'weight_decay': 0.001},AdamW,,,,,,,,TabTransformerModel,0.6517526507377625,0.6517526507377625,0.6101694703102112,0.7318295240402222,32.0,SwiGLU,0.75,add,True,16.0,4.0,64.0,8.0,0.2,kaiming_uniform,0.0,True,0.0,0.0,,,,,,,,,,,,,,,,,,
20,{'weight_decay': 0.01},Adam,,,,,,,,TabTransformerModel,0.7509992122650146,0.7509992122650146,0.6271186470985413,0.641603946685791,16.0,ReGLU,0.25,add,True,8.0,6.0,16.0,2.0,0.0,kaiming_uniform,0.0,True,0.1,0.0,,,,,,,,,,,,,,,,,,
21,{'weight_decay': 0.001},Adam,,,,,,,,TabTransformerModel,0.6334438920021057,0.6334438920021057,0.6610169410705566,0.7706767320632935,,ReGLU,0.5,add,False,16.0,4.0,64.0,4.0,0.0,kaiming_normal,0.1,False,0.1,0.2,,,,,,,,,,,,,,,,,,
22,{'weight_decay': 0.001},Adam,,,,,,,,TabTransformerModel,0.5944856405258179,0.5944856405258179,0.7118644118309021,0.7418546676635742,32.0,GEGLU,0.75,fraction,False,16.0,6.0,32.0,8.0,0.2,kaiming_normal,0.2,True,0.1,0.1,,,,,,,,,,,,,,,,,,
23,{'weight_decay': 0.001},AdamW,,,,,,,,TabTransformerModel,0.6643584370613098,0.6643584370613098,0.694915235042572,0.6929824352264404,,SwiGLU,0.5,fraction,True,8.0,6.0,16.0,2.0,0.1,kaiming_uniform,0.1,False,0.1,0.2,,,,,,,,,,,,,,,,,,
24,{'weight_decay': 0.01},Adam,,,,,,,,TabTransformerModel,0.6776366829872131,0.6776366829872131,0.6779661178588867,0.7030075192451477,32.0,GEGLU,0.5,fraction,False,4.0,4.0,64.0,8.0,0.1,kaiming_uniform,0.2,True,0.1,0.2,,,,,,,,,,,,,,,,,,
25,{'weight_decay': 0.01},AdamW,,,,,,,,TabTransformerModel,0.5856257677078247,0.5856257677078247,0.694915235042572,0.7644110321998596,32.0,ReGLU,0.5,add,True,8.0,2.0,32.0,2.0,0.2,kaiming_uniform,0.0,False,0.1,0.1,,,,,,,,,,,,,,,,,,
26,{'weight_decay': 0.01},AdamW,,,,,,,,TabTransformerModel,0.6066787838935852,0.6066787838935852,0.6271186470985413,0.675438642501831,,SwiGLU,0.5,fraction,True,16.0,2.0,32.0,2.0,0.1,kaiming_normal,0.2,True,0.2,0.2,,,,,,,,,,,,,,,,,,
27,{'weight_decay': 0.01},AdamW,,,,,,,,TabTransformerModel,0.6834093928337097,0.6834093928337097,0.6101694703102112,0.6741855144500732,16.0,ReGLU,0.25,fraction,True,8.0,4.0,16.0,8.0,0.0,kaiming_uniform,0.2,False,0.1,0.1,,,,,,,,,,,,,,,,,,
28,{'weight_decay': 0.001},AdamW,,,,,,,,TabTransformerModel,0.6765502691268921,0.6765502691268921,0.6610169410705566,0.6729323863983154,32.0,GEGLU,0.25,add,True,4.0,4.0,64.0,8.0,0.2,kaiming_uniform,0.1,False,0.0,0.1,,,,,,,,,,,,,,,,,,
29,{'weight_decay': 0.01},AdamW,,,,,,,,TabTransformerModel,0.5946791768074036,0.5946791768074036,0.694915235042572,0.756892204284668,,SwiGLU,0.75,fraction,True,16.0,4.0,64.0,4.0,0.0,kaiming_uniform,0.2,False,0.1,0.2,,,,,,,,,,,,,,,,,,
30,{'weight_decay': 0.001},Adam,,,,,,,,TabTransformerModel,0.5734903216362,0.5734903216362,0.7288135886192322,0.7556390762329102,32.0,SwiGLU,0.5,add,False,8.0,4.0,64.0,4.0,0.0,kaiming_normal,0.0,False,0.2,0.0,,,,,,,,,,,,,,,,,,
31,{'weight_decay': 0.01},AdamW,,,,,,,,TabTransformerModel,0.6520705223083496,0.6520705223083496,0.6779661178588867,0.7243107557296753,16.0,ReGLU,0.75,fraction,False,4.0,6.0,16.0,4.0,0.2,kaiming_uniform,0.0,True,0.0,0.0,,,,,,,,,,,,,,,,,,
32,{'weight_decay': 0.001},Adam,,,,,,,,TabTransformerModel,0.6514468789100647,0.6514468789100647,0.7288135886192322,0.6666666269302368,,ReGLU,0.75,add,False,16.0,6.0,16.0,2.0,0.0,kaiming_normal,0.0,True,0.1,0.1,,,,,,,,,,,,,,,,,,
33,{'weight_decay': 0.01},AdamW,,,,,,,,TabTransformerModel,0.6298021674156189,0.6298021674156189,0.694915235042572,0.7055138349533081,32.0,ReGLU,0.75,fraction,False,16.0,4.0,32.0,8.0,0.1,kaiming_uniform,0.0,False,0.1,0.0,,,,,,,,,,,,,,,,,,
34,{'weight_decay': 0.01},AdamW,,,,,,,,TabTransformerModel,0.552792489528656,0.552792489528656,0.6779661178588867,0.7506265640258789,,GEGLU,0.5,add,True,4.0,2.0,32.0,8.0,0.2,kaiming_uniform,0.0,False,0.2,0.2,,,,,,,,,,,,,,,,,,
35,{'weight_decay': 0.001},AdamW,,,,,,,,TabTransformerModel,0.6415284872055054,0.6415284872055054,0.6779661178588867,0.6867167949676514,,GEGLU,0.25,fraction,True,16.0,6.0,32.0,4.0,0.0,kaiming_normal,0.1,False,0.2,0.2,,,,,,,,,,,,,,,,,,
36,{'weight_decay': 0.01},Adam,,,,,,,,TabTransformerModel,0.5956308841705322,0.5956308841705322,0.6271186470985413,0.7255638837814331,,ReGLU,0.25,fraction,True,4.0,2.0,64.0,4.0,0.1,kaiming_uniform,0.0,False,0.0,0.2,,,,,,,,,,,,,,,,,,
37,{'weight_decay': 0.01},Adam,,,,,,,,TabTransformerModel,0.6733958125114441,0.6733958125114441,0.6610169410705566,0.7017543315887451,32.0,GEGLU,0.25,fraction,True,16.0,4.0,16.0,4.0,0.0,kaiming_normal,0.2,False,0.1,0.0,,,,,,,,,,,,,,,,,,
38,{'weight_decay': 0.01},AdamW,,,,,,,,TabTransformerModel,0.6140895485877991,0.6140895485877991,0.7457627058029175,0.7556390762329102,16.0,ReGLU,0.75,add,False,4.0,4.0,32.0,8.0,0.2,kaiming_uniform,0.0,True,0.1,0.2,,,,,,,,,,,,,,,,,,
39,{'weight_decay': 0.01},AdamW,,,,,,,,TabTransformerModel,0.7106775045394897,0.7106775045394897,0.5762711763381958,0.6917293071746826,16.0,ReGLU,0.75,fraction,True,16.0,6.0,16.0,2.0,0.1,kaiming_normal,0.0,True,0.2,0.0,,,,,,,,,,,,,,,,,,
40,{'weight_decay': 0.01},Adam,,,,,,,,TabTransformerModel,0.6250500679016113,0.6250500679016113,0.6440678238868713,0.6967418193817139,16.0,GEGLU,0.75,add,False,8.0,6.0,64.0,4.0,0.1,kaiming_uniform,0.1,False,0.2,0.2,,,,,,,,,,,,,,,,,,
41,{'weight_decay': 0.01},Adam,,,,,,,,TabTransformerModel,0.6208655834197998,0.6208655834197998,0.694915235042572,0.7393484115600586,,GEGLU,0.5,fraction,False,8.0,4.0,32.0,2.0,0.1,kaiming_uniform,0.2,True,0.1,0.1,,,,,,,,,,,,,,,,,,
