trial_id,optimizer_config__optimizer_params,optimizer_config__optimizer,model_config__virtual_batch_size,model_config__n_layers,model_config__k,model_config__dropout_rate,model_config__block_activation,model_config__abstlay_dim_2,model_config__abstlay_dim_1,model,loss_0,loss,accuracy,auroc,model_config__transformer_head_dim,model_config__transformer_activation,model_config__shared_embedding_fraction,model_config__share_embedding_strategy,model_config__share_embedding,model_config__num_heads,model_config__num_attn_blocks,model_config__input_embed_dim,model_config__ff_hidden_multiplier,model_config__ff_dropout,model_config__embedding_initialization,model_config__embedding_dropout,model_config__embedding_bias,model_config__attn_dropout,model_config__add_norm_dropout,model_config__use_batch_norm,model_config__initialization,model_config__has_residuals,model_config__embedding_dim,model_config__dropout,model_config__deep_layers,model_config__attn_embed_dim,model_config__attn_dropouts,model_config__attention_pooling,model_config__activation,model_config__n_steps,model_config__n_shared,model_config__n_independent,model_config__n_d,model_config__n_a,model_config__mask_type,model_config__gamma,model_config__batch_norm_continuous_input
18,{'weight_decay': 0.01},AdamW,128.0,6.0,7.0,0.2,GELU,128.0,16.0,DANetModel,0.6507970690727234,0.6507970690727234,0.6440678238868713,0.5413534045219421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,{'weight_decay': 0.001},Adam,512.0,8.0,3.0,0.1,GELU,32.0,64.0,DANetModel,0.6329678893089294,0.6329678893089294,0.6440678238868713,0.6967418193817139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,{'weight_decay': 0.001},AdamW,256.0,8.0,3.0,0.1,LeakyReLU,64.0,64.0,DANetModel,0.6141830682754517,0.6141830682754517,0.694915235042572,0.6616541147232056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,{'weight_decay': 0.01},Adam,256.0,6.0,5.0,0.2,LeakyReLU,32.0,64.0,DANetModel,0.7294823527336121,0.7294823527336121,0.35593220591545105,0.41353386640548706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,{'weight_decay': 0.001},AdamW,256.0,4.0,7.0,0.2,GELU,32.0,64.0,DANetModel,0.6614958047866821,0.6614958047866821,0.6440678238868713,0.5062656402587891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,{'weight_decay': 0.01},Adam,128.0,6.0,5.0,0.1,LeakyReLU,64.0,16.0,DANetModel,0.6724817156791687,0.6724817156791687,0.6271186470985413,0.4511277973651886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,{'weight_decay': 0.01},AdamW,512.0,4.0,7.0,0.1,ReLU,128.0,32.0,DANetModel,0.6533940434455872,0.6533940434455872,0.6440678238868713,0.5175438523292542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,{'weight_decay': 0.001},AdamW,512.0,8.0,7.0,0.1,GELU,32.0,32.0,DANetModel,0.6477779746055603,0.6477779746055603,0.6440678238868713,0.5877193808555603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,{'weight_decay': 0.01},AdamW,256.0,6.0,3.0,0.2,GELU,128.0,16.0,DANetModel,0.652778148651123,0.652778148651123,0.6440678238868713,0.48245614767074585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,{'weight_decay': 0.01},Adam,128.0,4.0,5.0,0.1,ReLU,128.0,64.0,DANetModel,0.6273049712181091,0.6273049712181091,0.6440678238868713,0.6716791391372681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
